id,CCP,y_pred,prob_true,prob_false,difference,lime
428053,FALSE,0,0.5,0.5,0,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含deprecated,不包含mirror,不包含collectionof,不包含fork,不包含personal,不包含sample,不包含obsole,不包含unmaintained,不包含Tutorial,不包含dot），其负面解释(也就是预测为非CCP)为（该项目包含demo,不包含readme_reportbug,不包含plugin,不包含tool,不包含component,不包含readme_usage,不包含readme_cookbook,不包含app,不包含readme_wiki,不包含readme_author）。》"
2234252,TRUE,1,0.5,0.5,0,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含sample,不包含mirror,不包含personal,不包含fork,不包含deprecated,不包含Tutorial,不包含collectionof,不包含obsole,不包含dot,不包含clone），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含0.00 < is_null,不包含inactive,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含app,不包含component,不包含readme_wiki）。》"
4920812,TRUE,0,0.5,0.5,0,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含sample,不包含deprecated,不包含collectionof,不包含mirror,不包含fork,不包含personal,不包含dot,不包含Tutorial,不包含demo,不包含example），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含inactive,不包含plugin,不包含server,不包含readme_usage,不包含readme_author,不包含app,不包含tool,不包含library）。》"
11317079,TRUE,1,0.502,0.498,0.004,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含deprecated,不包含fork,不包含demo,不包含personal,不包含mirror,不包含collectionof,不包含dot,不包含sample,不包含Tutorial,不包含example），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含component,不包含readme_author,不包含app,不包含readme_wiki）。》"
821172,TRUE,1,0.502,0.498,0.004,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含fork,不包含sample,不包含collectionof,不包含Tutorial,不包含mirror,不包含deprecated,不包含personal,不包含demo,不包含dot,不包含example），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含readme_cookbook,不包含server,不包含tool,不包含readme_usage,不包含app,不包含readme_author,不包含inactive）。》"
2513426,FALSE,0,0.498,0.502,0.004,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含fork,不包含Tutorial,不包含sample,不包含collectionof,不包含obsole,不包含personal,不包含demo,不包含example,不包含unmaintained,不包含mirror），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,包含practice,不包含plugin,不包含component,不包含server,不包含readme_usage,不包含tool,不包含localization,不包含app,不包含readme_author）。》"
3843212,TRUE,0,0.498,0.502,0.004,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含collectionof,不包含dot,不包含deprecated,不包含sample,不包含fork,不包含obsole,不包含personal,不包含mirror,不包含Tutorial,不包含abondoned），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含plugin,包含readme_howtouse,不包含server,不包含component,不包含readme_usage,不包含tool,不包含readme_author,不包含app,不包含library）。》"
6987668,TRUE,1,0.502,0.498,0.004,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含collectionof,不包含obsole,不包含mirror,不包含unmaintained,不包含Tutorial,不包含fork,不包含sample,不包含dot,不包含personal,不包含demo），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含localization,不包含plugin,不包含server,不包含tool,不包含app,不包含library,不包含readme_usage,不包含readme_author,不包含component）。》"
81060,TRUE,1,0.503,0.497,0.006,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含collectionof,不包含obsole,不包含mirror,不包含sample,不包含personal,不包含dot,不包含Tutorial,不包含fork,不包含demo,不包含deprecated），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,包含url_dot,不包含plugin,不包含server,不包含component,不包含tool,不包含readme_usage,不包含app,不包含helper,不包含module）。》"
2227798,TRUE,1,0.503,0.497,0.006,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含fork,不包含dot,不包含sample,不包含personal,不包含Tutorial,不包含obsole,不包含demo,不包含collectionof,不包含example,不包含mirror），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含0.00 < is_null,不包含plugin,不包含server,不包含component,不包含tool,不包含readme_usage,不包含readme_wiki,不包含readme_author,不包含app）。》"
1086746,FALSE,1,0.504,0.496,0.008,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含sample,不包含personal,不包含Tutorial,不包含fork,不包含deprecated,不包含collectionof,不包含dot,不包含mirror,不包含demo,不包含example），其负面解释(也就是预测为非CCP)为（该项目不包含inactive,不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含library,不包含component,不包含readme_author）。》"
2510432,TRUE,1,0.504,0.496,0.008,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含unmaintained,不包含deprecated,不包含sample,不包含dot,不包含Tutorial,不包含fork,不包含collectionof,不包含mirror,不包含obsole,不包含documentation），其负面解释(也就是预测为非CCP)为（该项目不包含inactive,不包含readme_reportbug,不包含plugin,包含readme_howtouse,不包含server,不包含tool,不包含readme_usage,不包含readme_author,不包含readme_wiki,不包含app）。》"
